Data,Número do pedido,Serviço,UF,CEP,Município,Valor previsto,Frete,Peso bruto (gr),Peso Bruto (Kg),Faixa de Peso,Total da Venda
09/05/2022,161,.Package,SC,88056-000,Florianópolis,138,40,24000,24,9,1200
16/05/2022,170,.Package,RJ,22776-050,Rio de Janeiro,149,40,24000,24,9,1320
24/05/2022,176,.Package,SP,04714-000,São Paulo,29,40,3000,3,2,180
07/06/2022,190,.Package,RS,90035-090,Porto Alegre,18,40,2000,2,1,88
08/02/2023,822,.Package,RJ,22270-000,Rio de Janeiro,25,30,2000,2,2,162
18/02/2023,857,.Package,RJ,22280-020,Rio de Janeiro,34,30,4000,4,2,360
02/03/2023,898,.Package,SP,06455-010,Barueri,29,40,4000,4,2,219
31/05/2023,1283,.Package,PA,68170-000,Juruti,227,30,6000,6,3,520
30/05/2023,1192,.Package,SC,89204-280,Joinville,34,50,4600,5,3,370
30/05/2023,1194,.Package,PR,80730-150,Curitiba,31,40,4500,5,3,440
30/05/2023,1200,.Package,RS,91340-400,Porto Alegre,21,50,4600,5,3,370
30/05/2023,1219,.Package,SP,17516-020,Marília,38,60,5400,5,3,540
30/05/2023,1247,.Package,ES,29200-260,Guarapari,42,50,4500,5,3,450
30/05/2023,1265,.Package,SP,01224-010,São Paulo,23,10,1800,2,1,120
05/06/2023,1342,.Package,RS,90560-003,Porto Alegre,20,50,3300,3,2,400
06/06/2023,1339,.Package,PE,54783-030,Camaragibe,83,70,6900,7,4,550
08/06/2023,1357,.Package,RS,96015-710,Pelotas,32,40,10800,11,6,586
16/06/2023,1437,.Package,RS,96040-500,Pelotas,18,25,1350,1,1,165
22/06/2023,1510,.Package,RS,90230-240,Porto Alegre,31,40,10800,11,6,594
22/06/2023,1526,.Package,SP,12041-110,Taubaté,23,64,2300,2,2,263
30/05/2023,1601,.Package,SP,04089-001,São Paulo,29,20,2440,2,2,330
26/06/2023,1647,.Package,RJ,22440-034,Rio de Janeiro,26,30,2300,2,2,428
30/05/2023,1630,.Package,SP,07210-008,Guarulhos,39,50,5100,5,3,720
30/05/2023,1696,.Package,RS,90470-420,Porto Alegre,22,50,3750,4,2,540
30/05/2023,1698,.Package,SP,04602-007,São Paulo,31,40,3650,4,2,380
30/05/2023,1754,.Package,SP,01243-020,São Paulo,31,40,3350,3,2,350
30/05/2023,1758,.Package,RJ,22610-095,Rio de Janeiro,33,30,2700,3,2,390
30/05/2023,1763,.Package,MT,78060-704,Cuiabá,49,50,4500,5,3,650
30/05/2023,1805,.Package,SP,04552-050,São Paulo,29,40,2250,2,2,340
30/05/2023,1771,.Package,SP,05449-010,São Paulo,31,40,3600,4,2,440
29/06/2023,2254,.Package,RS,90230-240,Porto Alegre,17,40,1800,2,1,110
30/05/2023,1896,.Package,RS,96206-170,Rio Grande,18,30,1350,1,1,210
31/05/2023,2036,.Package,SP,03333-050,São Paulo,34,50,4500,5,3,490
31/05/2023,2037,.Package,SP,05705-170,São Paulo,21,20,900,1,1,140
31/05/2023,2058,.Package,DF,71680-614,Brasília,60,70,6300,6,4,750
31/05/2023,2084,.Package,SP,01540-000,São Paulo,31,40,3150,3,2,380
31/05/2023,2094,.Package,RS,91120-420,Porto Alegre,18,40,1800,2,1,260
01/06/2023,2079,.Package,SP,05015-000,São Paulo,46,70,6750,7,4,730
05/06/2023,1585,.Package,SC,89562-308,Videira,33,40,2400,2,2,370
27/06/2023,1726,.Package,SC,88102-300,São José,36,45,4900,5,3,655
27/06/2023,2165,.Package,SP,12506-390,Guaratinguetá,36,35,3600,4,2,515
30/06/2023,2313,.Package,RS,96065-460,Pelotas,17,25,900,1,1,145
29/06/2023,2266,.Package,RJ,24230-000,Niterói,32,40,2700,3,2,346
28/06/2023,2203,.Package,RS,90480-200,Porto Alegre,20,40,3450,3,2,310
29/06/2023,2258,.Package,MG,30220-060,Belo Horizonte,35,50,3700,4,2,570
28/06/2023,2217,.Package,SP,13501-105,Rio Claro,30,35,2250,2,2,335
01/07/2023,2338,.Package,MG,36021-600,Juiz de Fora,26,30,2300,2,2,428
29/06/2023,2292,.Package,PI,64015-120,Teresina,41,30,2300,2,2,398
29/06/2023,2287,.Package,SC,89802-100,Chapecó,24,30,2300,2,2,428
30/06/2023,2272,.Package,RS,95270-000,Flores da Cunha,82,40,18276,18,9,980
27/06/2023,2143,.Package,SP,01454-000,São Paulo,75,40,14976,14,7,1719
05/07/2023,2402,.Package,RS,90570-060,Porto Alegre,18,40,2300,2,2,398
04/07/2023,2360,.Package,SP,13870-382,São João da Boa Vista,38,30,4000,4,2,758
30/05/2023,1858,.Package,SP,03062-010,São Paulo,31,50,3600,4,2,450
04/07/2023,2363,.Package,PR,80420-210,Curitiba,22,30,2300,2,2,428
07/07/2023,2435,.Package,DF,71681-679,Brasília,70,40,8400,8,5,1287
10/06/2023,1365,.Package,RS,90540-031,Porto Alegre,18,35,2250,2,2,335
16/06/2023,1446,.Package,SP,14098-561,Ribeirão Preto,28,35,2750,3,2,365
08/07/2023,2444,.Package,SP,05007-001,São Paulo,27,35,3000,3,2,295
07/07/2023,2470,.Package,PR,81200-100,Curitiba,19,35,2300,2,2,204
12/07/2023,2526,.Package,SP,18706-675,Avaré,32,32,4000,4,2,282
13/07/2023,2536,.Package,SP,03333-050,São Paulo,32,45,4200,4,3,555
13/05/2023,1097,.Package,CE,62670-000,São Gonçalo do Amarante,119,30,2000,2,1,195
17/07/2023,2596,.Package,SC,89201-050,Joinville,118,40,21600,22,9,1290
14/07/2023,2612,.Package,MS,79022-071,Campo Grande,25,45,2300,2,2,443
12/07/2023,2531,.Package,SP,09710-230,São Bernardo do Campo,26,40,2808,3,2,240
18/07/2023,2623,.Package,SP,04552-000,São Paulo,31,40,4212,4,3,360
18/07/2023,2637,.Package,SP,05421-000,São Paulo,21,35,1000,1,1,291
18/07/2023,2638,.Package,RJ,21931-582,Rio de Janeiro,28,45,2000,2,1,414
19/07/2023,2647,.Package,PB,58032-090,João Pessoa,40,80,2300,2,2,478
20/07/2023,2660,.Package,SP,13087-460,Campinas,22,35,1000,1,1,286
21/07/2023,2668,.Package,SP,13332-751,Indaiatuba,33,25,4500,5,3,475
22/07/2023,2688,.Package,SP,09623-010,São Bernardo do Campo,22,45,2300,2,2,443
22/07/2023,2692,.Package,SP,17513-322,Marília,0,35,1000,1,1,286
23/07/2023,2696,.Package,SP,17030-370,Bauru,23,45,2300,2,2,403
24/07/2023,2712,.Package,RS,95020-160,Caxias do Sul,18,45,2300,2,2,398
26/07/2023,2730,.Package,BA,45026-700,Vitória da Conquista,35,75,2300,2,2,473
27/07/2023,2744,.Package,PE,52011-270,Recife,44,40,1368,1,1,115
28/07/2023,2765,.Package,SP,02415-001,São Paulo,22,45,2300,2,2,403
31/07/2023,2787,.Package,GO,74983-660,Aparecida de Goiânia,33,40,1800,2,1,70
17/08/2023,2998,.Package,SP,12460-000,Campos do Jordão,83,40,8214,8,5,626
04/09/2023,3175,.Package,GO,75570-000,Bom Jesus de Goiás,174,45,3857,4,2,224
05/09/2023,3170,.Package,RJ,28977-010,Araruama,28,30,1420,1,1,149
07/09/2023,3212,.Package,SP,05351-000,São Paulo,29,35,3242,3,2,240
12/09/2023,3286,.Package,SP,12460-000,Campos do Jordão,731,40,61600,62,9,2496
22/09/2023,3394,.Package,SC,88330-272,Balneário Camboriú,42,45,5903,6,3,403
27/09/2023,3445,.Package,RS,96600-000,Canguçu,42,40,1752,2,1,105
08/11/2023,3930,.Package,RS,98804-370,Santo Ângelo,84,40,25200,25,9,1856
09/11/2023,3945,.Package,RS,97800-000,São Luiz Gonzaga,20,40,1870,2,1,180
01/12/2023,4253,.Package,MT,78250-000,Pontes e Lacerda,124,60,5683,6,3,630
11/12/2023,4331,.Package,SP,12916-020,Bragança Paulista,56,165,8723,9,5,810
12/01/2024,4573,.Package,SP,13098-303,Campinas,39,39,5903,6,3,553
12/01/2024,4574,.Package,SP,04747-030,São Paulo,37,37,5903,6,3,551
27/01/2024,4711,.Package,AM,69040-000,Manaus,68,63,3093,3,2,526
10/02/2024,4829,.Package,RS,98005-245,Cruz Alta,38,110,5935,6,3,710
10/02/2024,4848,.Package,MG,35920-000,Nova Era,45,55,2855,3,2,441
04/03/2024,4952,.Package,SP,08780-270,Mogi das Cruzes,40,55,5935,6,3,625
06/03/2024,5027,.Package,SP,13023-100,Campinas,32,55,3500,4,2,485
06/03/2024,5056,.Package,SP,09572-015,São Caetano do Sul,36,38,4300,4,3,644
06/03/2024,5090,.Package,PR,85851-210,Foz do Iguaçu,24,24,610,1,1,524
06/03/2024,5106,.Package,PR,81570-160,Curitiba,23,30,1926,2,1,130
06/03/2024,5124,.Package,SP,05049-000,São Paulo,23,30,1870,2,1,200
06/03/2024,5204,.Package,SP,14940-534,Ibitinga,34,30,2153,2,2,400
06/03/2024,5210,.Package,RJ,22080-010,Rio de Janeiro,25,30,1026,1,1,130
06/03/2024,5220,.Package,SP,04131-080,São Paulo,27,30,2534,3,2,175
06/03/2024,5221,.Package,SP,12241-040,São José dos Campos,22,30,416,0,1,130
06/03/2024,5232,.Package,SP,05011-040,São Paulo,28,30,2174,2,2,220
06/03/2024,5272,.Package,SP,11910-000,Sete Barras,45,30,1926,2,1,120
08/03/2024,5396,.Package,RJ,22745-240,Rio de Janeiro,23,30,416,0,1,130
08/03/2024,5409,.Package,RJ,22230-060,Rio de Janeiro,26,30,1050,1,1,220
10/03/2024,5507,.Package,SP,09530-250,São Caetano do Sul,22,30,862,1,1,230
11/03/2024,5518,.Package,SP,13565-251,São Carlos,32,55,3267,3,2,230
11/03/2024,5532,.Package,SP,04565-001,São Paulo,23,30,1026,1,1,230
10/03/2024,5552,.Package,SP,15150-000,Monte Aprazível,25,30,416,0,1,130
12/03/2024,5574,.Package,RS,96600-000,Canguçu,18,20,2300,2,2,120
15/02/2023,852,.Package,MG,37553-096,Pouso Alegre,0,30,4000,4,2,360
17/08/2021,1,SEDEX,RS,97050-070,Santa Maria,31,29,4470,4,3,369
01/09/2021,12,SEDEX,RS,90520-000,Porto Alegre,36,39,6140,6,4,529
01/09/2021,13,SEDEX,RS,91530-360,Porto Alegre,24,22,1170,1,1,122
01/09/2021,14,SEDEX,RS,96075-320,Pelotas,24,22,1100,1,1,92
01/09/2021,16,SEDEX,RS,90460-080,Porto Alegre,26,30,2130,2,2,220
05/11/2021,45,.Package,RJ,22793-190,Rio de Janeiro,23,25,2000,2,1,153
05/11/2021,46,.Package,RJ,22793-329,Rio de Janeiro,29,25,3000,3,2,241
09/11/2021,54,.Package,RJ,22230-001,Rio de Janeiro,23,25,2000,2,1,145
